"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_art_ada_bukti_kepemilikan_laki_laki";"n_art_ada_bukti_kepemilikan_perempuan";"n_art_ada_bukti_kepemilikan";"n_art_tidak_ada_bukti_kepemilikan_laki_laki";"n_art_tidak_ada_bukti_kepemilikan_perempuan";"n_art_tidak_ada_bukti_kepemilikan";"n_art_ada_bukti_kepemilikan_cek";"n_art_tidak_ada_bukti_kepemilikan_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1584";"435";"2019";"57";"25";"82";"2019";"82"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1379";"294";"1673";"437";"225";"662";"1673";"662"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1289";"275";"1564";"79";"20";"99";"1564";"99"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1220";"228";"1448";"192";"66";"258";"1448";"258"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1096";"372";"1468";"167";"65";"232";"1468";"232"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"1660";"335";"1995";"176";"48";"224";"1995";"224"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1067";"152";"1219";"123";"18";"141";"1219";"141"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"2639";"1042";"3681";"182";"111";"293";"3681";"293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"2716";"707";"3423";"495";"172";"667";"3423";"667"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1285";"543";"1828";"7";"6";"13";"1828";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1198";"347";"1545";"7";"6";"13";"1545";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1244";"283";"1527";"82";"18";"100";"1527";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1678";"742";"2420";"60";"43";"103";"2420";"103"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"943";"521";"1464";"129";"93";"222";"1464";"222"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"805";"202";"1007";"70";"16";"86";"1007";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"654";"210";"864";"6";"2";"8";"864";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2633";"533";"3166";"57";"20";"77";"3166";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1460";"348";"1808";"102";"21";"123";"1808";"123"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1070";"508";"1578";"105";"85";"190";"1578";"190"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1137";"374";"1511";"15";"4";"19";"1511";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1333";"328";"1661";"67";"28";"95";"1661";"95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"30090";"8779";"38869";"2615";"1092";"3707";"38869";"3707"
