"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_ikut_program_perhutanan_sosial";"n_rtup_tak_ikut_program_perhutanan_sosial";"jml_n_rtup_ikut_dan_tak_ikut_program_perhutanan_sosial";"n_utp_ikut_program_perhutanan_sosial";"n_utp_tak_ikut_program_perhutanan_sosial";"jml_n_utp_ikut_dan_tak_ikut_program_perhutanan_sosial";"n_rtup_tani";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"2802";"2802";"0";"2977";"2977";"2802";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"101";"2290";"2391";"101";"2307";"2408";"2391";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"1765";"1767";"2";"1768";"1770";"1767";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1";"1925";"1926";"1";"1999";"2000";"1926";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"98";"2030";"2128";"110";"2130";"2240";"2128";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"180";"1974";"2154";"183";"2100";"2283";"2154";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"39";"1254";"1293";"40";"1399";"1439";"1293";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"379";"3966";"4345";"395";"4279";"4674";"4345";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"546";"4006";"4552";"603";"4363";"4966";"4552";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"263";"1379";"1642";"266";"1414";"1680";"1642";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"16";"2039";"2055";"16";"2119";"2135";"2055";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"1652";"1653";"1";"1775";"1776";"1653";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"7";"3305";"3312";"7";"3455";"3462";"3312";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"1869";"1869";"0";"1890";"1890";"1869";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"1290";"1290";"0";"1319";"1319";"1290";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"1066";"1066";"0";"1085";"1085";"1066";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"4";"3777";"3781";"4";"3979";"3983";"3781";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"2477";"2478";"1";"2704";"2705";"2478";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"2575";"2575";"0";"2923";"2923";"2575";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"2567";"2567";"0";"2887";"2887";"2567";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"3024";"3024";"0";"3086";"3086";"3024";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"1638";"49032";"50670";"1730";"51958";"53688";"50670";"53688"
