"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_dapat_bantuan_usaha_tani";"n_rtup_tak_dapat_bantuan_usaha_tani";"jml_n_rtup_tidak_dan_dapat_bantuan_usaha_tani";"n_utp_dapat_bantuan_usaha_tani";"n_utp_tak_dapat_bantuan_usaha_tani";"jml_n_utp_tidak_dan_dapat_bantuan_usaha_tani";"n_rtup_tani";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"331";"2471";"2802";"335";"2642";"2977";"2802";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"765";"1626";"2391";"766";"1642";"2408";"2391";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"817";"950";"1767";"818";"952";"1770";"1767";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"139";"1787";"1926";"140";"1860";"2000";"1926";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"102";"2026";"2128";"102";"2138";"2240";"2128";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"106";"2048";"2154";"106";"2177";"2283";"2154";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"45";"1248";"1293";"47";"1392";"1439";"1293";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1533";"2812";"4345";"1598";"3076";"4674";"4345";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"636";"3916";"4552";"655";"4311";"4966";"4552";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"346";"1296";"1642";"355";"1325";"1680";"1642";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"272";"1783";"2055";"275";"1860";"2135";"2055";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"200";"1453";"1653";"203";"1573";"1776";"1653";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"183";"3129";"3312";"184";"3278";"3462";"3312";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"664";"1205";"1869";"674";"1216";"1890";"1869";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"54";"1236";"1290";"54";"1265";"1319";"1290";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"152";"914";"1066";"153";"932";"1085";"1066";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1279";"2502";"3781";"1332";"2651";"3983";"3781";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"931";"1547";"2478";"983";"1722";"2705";"2478";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"248";"2327";"2575";"255";"2668";"2923";"2575";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"335";"2232";"2567";"361";"2526";"2887";"2567";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"120";"2904";"3024";"120";"2966";"3086";"3024";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"9258";"41412";"50670";"9516";"44172";"53688";"50670";"53688"
