"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_memiliki_akses_terhadap_kur";"n_rtup_tak_memiliki_akses_terhadap_kur";"jml_n_rtup_tidak_dan_memiliki_akses_terhadap_kur";"n_utp_memiliki_akses_terhadap_kur";"n_utp_tak_memiliki_akses_terhadap_kur";"jml_n_utp_tidak_dan_memiliki_akses_terhadap_kur";"n_rtup_tani";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"919";"1883";"2802";"1000";"1977";"2977";"2802";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"4";"2387";"2391";"4";"2404";"2408";"2391";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"75";"1692";"1767";"75";"1695";"1770";"1767";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"5";"1921";"1926";"5";"1995";"2000";"1926";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"486";"1642";"2128";"495";"1745";"2240";"2128";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"187";"1967";"2154";"198";"2085";"2283";"2154";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"221";"1072";"1293";"241";"1198";"1439";"1293";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"152";"4193";"4345";"153";"4521";"4674";"4345";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"572";"3980";"4552";"609";"4357";"4966";"4552";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"55";"1587";"1642";"55";"1625";"1680";"1642";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"14";"2041";"2055";"14";"2121";"2135";"2055";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1222";"431";"1653";"1301";"475";"1776";"1653";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"59";"3253";"3312";"59";"3403";"3462";"3312";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"3";"1866";"1869";"3";"1887";"1890";"1869";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"167";"1123";"1290";"168";"1151";"1319";"1290";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"134";"932";"1066";"134";"951";"1085";"1066";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"852";"2929";"3781";"869";"3114";"3983";"3781";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1106";"1372";"2478";"1203";"1502";"2705";"2478";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"462";"2113";"2575";"479";"2444";"2923";"2575";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1521";"1046";"2567";"1718";"1169";"2887";"2567";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"867";"2157";"3024";"876";"2210";"3086";"3024";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"9083";"41587";"50670";"9659";"44029";"53688";"50670";"53688"
